set,n,mean,std,min,p05,p25,median,p75,p95,max
CIFAR-10 ID,10000,15.962022693062387,6.928912089857049,-1.2139118494534769,4.813413864815167,10.77462499118674,15.922074805672118,20.974039554995848,27.4459820747376,39.02841567993164
SVHN OOD,26032,7.840408733841082,3.5934459558786154,-1.5355647663664043,2.647822192934778,5.058642457696136,7.389161083700786,10.499561412258831,14.176149794265944,24.280082702637532
