method,cifar10_accuracy_%,threshold,ID TPR / Known rate (%),OOD FPR / OOD misclassified as Known (%),OOD Unknown rate (%),Detector accuracy (%),AUROC (%),AUPR-In (%),N ID,N OOD
Energy,92.92,4.813413864815168,95.0,77.5238168408113,22.47618315918869,42.603796625222024,84.2154475261217,78.98122769990901,10000,26032
Softmax confidence,92.92,0.8582274286690403,95.0,76.60955746773203,23.390442532267976,43.264320603907635,85.97201290719114,82.43604491767337,10000,26032
